x,y,label,formula,entry_id,e_above_hull,on_hull,is_electride
0.000000,0.97291149,"mp-1227541-GGA","Ca","mp-1227541-GGA",0.97291149,no,no
0.000000,0.01307168,"mp-1183455-GGA","Ca","mp-1183455-GGA",0.01307168,no,no
0.000000,0.02121779,"mp-166-GGA","Ca","mp-166-GGA",0.02121779,no,no
0.000000,0.16491002,"mp-1008498-GGA","Ca","mp-1008498-GGA",0.16491002,no,no
0.000000,0.00639971,"mp-1183484-GGA","Ca","mp-1183484-GGA",0.00639971,no,no
0.000000,0.00590990,"mp-132-GGA","Ca","mp-132-GGA",0.00590990,no,no
0.000000,0.39961350,"mp-10683-GGA","Ca","mp-10683-GGA",0.39961350,no,no
0.000000,0.00000000,"mp-45-GGA","Ca","mp-45-GGA",0.00000000,yes,no
0.000000,0.02354205,"mp-21-GGA","Ca","mp-21-GGA",0.02354205,no,no
0.000000,0.00713944,"mp-1064227-GGA","Ca","mp-1064227-GGA",0.00713944,no,no
0.000000,0.27683042,"mp-1067285-GGA","Ca","mp-1067285-GGA",0.27683042,no,no
0.000000,0.01915200,"mp-1078638-GGA","Ca","mp-1078638-GGA",0.01915200,no,no
0.250000,-0.54746636,"hR24-Ca3P1_s037","Ca3P","Ca3P1_s037",0.13178065,no,yes
0.250000,-0.55867626,"hR24-Ca3P1_s110","Ca3P","Ca3P1_s110",0.12057075,no,yes
0.250000,-0.56561918,"hP4-Ca3P1_s002","Ca3P","Ca3P1_s002",0.11362783,no,yes
0.250000,-0.56818826,"oI8-Ca3P1_s094","Ca3P","Ca3P1_s094",0.11105875,no,yes
0.250000,-0.60201981,"oS16-Ca3P1_s030","Ca3P","Ca3P1_s030",0.07722720,no,yes
0.285714,-0.66427118,"hP7-Ca5P2_s005","Ca5P2","Ca5P2_s005",0.11201111,no,yes
0.285714,-0.62249550,"oP14-Ca5P2_s009","Ca5P2","Ca5P2_s009",0.15378680,no,yes
0.333333,-0.76600420,"hR27-Ca2P1_s051","Ca2P","Ca2P1_s051",0.13965848,no,yes
0.333333,-0.82982921,"tP9-Ca2P1_s055","Ca2P","Ca2P1_s055",0.07583347,no,yes
0.333333,-0.75894285,"tP9-Ca2P1_s056","Ca2P","Ca2P1_s056",0.14671983,no,yes
0.333333,-0.78047934,"oS12-Ca2P1_s027","Ca2P","Ca2P1_s027",0.12518333,no,yes
0.363636,-0.88060152,"oF44-Ca7P4_s015","Ca7P4","Ca7P4_s015",0.10739413,no,yes
0.375000,-1.01887051,"hP16-Ca5P3_s021","Ca5P3","Ca5P3_s021",0.00000000,yes,yes
0.400000,-0.72634738,"mp-1013547-GGA","Ca3P2","mp-1013547-GGA",0.30684458,no,no
0.500000,-1.09047776,"mp-1345-GGA","CaP","mp-1345-GGA",0.00000000,yes,no
0.615385,-0.90373722,"mp-28879-GGA","Ca5P8","mp-28879-GGA",0.00000000,yes,no
0.750000,-0.62437697,"mp-9122-GGA","CaP3","mp-9122-GGA",0.00000000,yes,no
1.000000,0.87631796,"mp-1179990-GGA","P","mp-1179990-GGA",0.87631796,no,no
1.000000,0.13908448,"mp-12883-GGA","P","mp-12883-GGA",0.13908448,no,no
1.000000,3.51899992,"mp-723897-GGA","P","mp-723897-GGA",3.51899992,no,no
1.000000,0.00463373,"mp-568348-GGA","P","mp-568348-GGA",0.00463373,no,no
1.000000,0.08563421,"mp-130-GGA","P","mp-130-GGA",0.08563421,no,no
1.000000,0.13895722,"mp-118-GGA","P","mp-118-GGA",0.13895722,no,no
1.000000,0.00000000,"mp-1198724-GGA","P","mp-1198724-GGA",0.00000000,yes,no
1.000000,0.14365085,"mp-53-GGA","P","mp-53-GGA",0.14365085,no,no
1.000000,3.51777466,"mp-674158-GGA","P","mp-674158-GGA",3.51777466,no,no
1.000000,0.04504319,"mp-1014013-GGA","P","mp-1014013-GGA",0.04504319,no,no
1.000000,0.06771988,"mp-1094075-GGA","P","mp-1094075-GGA",0.06771988,no,no
1.000000,0.87299757,"mp-1120743-GGA","P","mp-1120743-GGA",0.87299757,no,no
1.000000,0.03570828,"mp-157-GGA","P","mp-157-GGA",0.03570828,no,no
1.000000,0.09351297,"mp-7245-GGA","P","mp-7245-GGA",0.09351297,no,no
