x,y,label,formula,entry_id,e_above_hull,on_hull,is_electride
0.000000,0.97291149,"mp-1227541-GGA","Ca","mp-1227541-GGA",0.97291149,no,no
0.000000,0.01307168,"mp-1183455-GGA","Ca","mp-1183455-GGA",0.01307168,no,no
0.000000,0.02121779,"mp-166-GGA","Ca","mp-166-GGA",0.02121779,no,no
0.000000,0.16491002,"mp-1008498-GGA","Ca","mp-1008498-GGA",0.16491002,no,no
0.000000,0.00639971,"mp-1183484-GGA","Ca","mp-1183484-GGA",0.00639971,no,no
0.000000,0.00590990,"mp-132-GGA","Ca","mp-132-GGA",0.00590990,no,no
0.000000,0.39961350,"mp-10683-GGA","Ca","mp-10683-GGA",0.39961350,no,no
0.000000,0.00000000,"mp-45-GGA","Ca","mp-45-GGA",0.00000000,yes,no
0.000000,0.02354205,"mp-21-GGA","Ca","mp-21-GGA",0.02354205,no,no
0.000000,0.00713944,"mp-1064227-GGA","Ca","mp-1064227-GGA",0.00713944,no,no
0.000000,0.27683042,"mp-1067285-GGA","Ca","mp-1067285-GGA",0.27683042,no,no
0.000000,0.01915200,"mp-1078638-GGA","Ca","mp-1078638-GGA",0.01915200,no,no
0.500000,-0.00222748,"hR24-Ca3P1_s037","Ca3P","Ca3P1_s037",0.13178065,no,yes
0.500000,-0.01343738,"hR24-Ca3P1_s110","Ca3P","Ca3P1_s110",0.12057075,no,yes
0.500000,-0.02038030,"hP4-Ca3P1_s002","Ca3P","Ca3P1_s002",0.11362783,no,yes
0.500000,-0.02294938,"oI8-Ca3P1_s094","Ca3P","Ca3P1_s094",0.11105875,no,yes
0.500000,-0.05678093,"oS16-Ca3P1_s030","Ca3P","Ca3P1_s030",0.07722720,no,yes
0.571429,-0.04114103,"hP7-Ca5P2_s005","Ca5P2","Ca5P2_s005",0.11201111,no,yes
0.571429,0.00063465,"oP14-Ca5P2_s009","Ca5P2","Ca5P2_s009",0.15378680,no,yes
0.666667,-0.03901903,"hR27-Ca2P1_s051","Ca2P","Ca2P1_s051",0.13965848,no,yes
0.666667,-0.10284404,"tP9-Ca2P1_s055","Ca2P","Ca2P1_s055",0.07583347,no,yes
0.666667,-0.03195767,"tP9-Ca2P1_s056","Ca2P","Ca2P1_s056",0.14671983,no,yes
0.666667,-0.05349417,"oS12-Ca2P1_s027","Ca2P","Ca2P1_s027",0.12518333,no,yes
0.727273,-0.08752679,"oF44-Ca7P4_s015","Ca7P4","Ca7P4_s015",0.10739413,no,yes
0.750000,-0.20101219,"hP16-Ca5P3_s021","Ca5P3","Ca5P3_s021",0.00000000,yes,yes
0.800000,0.14603483,"mp-1013547-GGA","Ca3P2","mp-1013547-GGA",0.30684458,no,no
1.000000,0.00000000,"mp-1345-GGA","CaP","mp-1345-GGA",0.00000000,yes,no
