x,y,label,formula,entry_id,e_above_hull,on_hull,is_electride
0.000000,0.00000000,"mp-1187739-GGA","Y","mp-1187739-GGA",0.00000000,yes,no
0.000000,0.00354964,"mp-112-GGA","Y","mp-112-GGA",0.00354964,no,no
0.000000,0.00693288,"mp-1187717-GGA","Y","mp-1187717-GGA",0.00693288,no,no
0.000000,0.02396334,"mp-9-GGA","Y","mp-9-GGA",0.02396334,no,no
0.800000,-0.00929308,"hP5-Y3N2_s002","Y3N2","Y3N2_s002",0.02120373,no,yes
0.800000,0.01865059,"hP15-Y3N2_s030","Y3N2","Y3N2_s030",0.04914740,no,yes
0.800000,0.01454642,"tP10-Y3N2_s022","Y3N2","Y3N2_s022",0.04504323,no,yes
0.800000,-0.00026541,"oP10-Y3N2_s005","Y3N2","Y3N2_s005",0.03023140,no,yes
0.800000,0.01796386,"oS40-Y3N2_s075","Y3N2","Y3N2_s075",0.04846067,no,yes
0.857143,-0.01943490,"hR21-Y4N3_s001","Y4N3","Y4N3_s001",0.01324026,no,yes
0.857143,0.00071916,"hP14-Y4N3_s022","Y4N3","Y4N3_s022",0.03339431,no,yes
0.857143,0.01167086,"oS14-Y4N3_s019","Y4N3","Y4N3_s019",0.04434601,no,yes
0.857143,0.00329178,"oP14-Y4N3_s008","Y4N3","Y4N3_s008",0.03596693,no,yes
0.857143,0.01706849,"oP7-Y4N3_s011","Y4N3","Y4N3_s011",0.04974365,no,yes
0.888889,-0.00352381,"hP9-Y5N4_s006","Y5N4","Y5N4_s006",0.03036154,no,yes
0.888889,-0.01093857,"tI18-Y5N4_s003","Y5N4","Y5N4_s003",0.02294678,no,yes
0.888889,-0.00824060,"oI18-Y5N4_s005","Y5N4","Y5N4_s005",0.02564474,no,yes
0.888889,-0.01468562,"oP18-Y5N4_s036","Y5N4","Y5N4_s036",0.01919973,no,yes
0.909091,0.00407823,"oS22-Y6N5_s005","Y6N5","Y6N5_s005",0.03873369,no,yes
0.909091,-0.01401376,"oP11-Y6N5_s011","Y6N5","Y6N5_s011",0.02064170,no,yes
0.923077,-0.01918135,"oI26-Y7N6_s006","Y7N6","Y7N6_s006",0.01600728,no,yes
0.933333,-0.01072232,"tI30-Y8N7_s024","Y8N7","Y8N7_s024",0.02485730,no,yes
0.933333,-0.01265818,"tP15-Y8N7_s009","Y8N7","Y8N7_s009",0.02292143,no,yes
0.933333,-0.02558759,"oS30-Y8N7_s015","Y8N7","Y8N7_s015",0.00999202,no,yes
0.933333,-0.02323675,"oP15-Y8N7_s001","Y8N7","Y8N7_s001",0.01234286,no,yes
0.941176,-0.03587860,"hR51-Y9N8_s013","Y9N8","Y9N8_s013",0.00000000,yes,yes
0.941176,-0.01721697,"tI34-Y9N8_s025","Y9N8","Y9N8_s025",0.01866163,no,yes
1.000000,0.47121830,"mp-998899-GGA","YN","mp-998899-GGA",0.47121830,no,no
1.000000,0.35512507,"mp-1017533-GGA","YN","mp-1017533-GGA",0.35512507,no,no
1.000000,0.08746472,"mp-6913-GGA","YN","mp-6913-GGA",0.08746472,no,no
1.000000,0.24771123,"mp-13099-GGA","YN","mp-13099-GGA",0.24771123,no,no
1.000000,0.93603800,"mp-13098-GGA","YN","mp-13098-GGA",0.93603800,no,no
1.000000,0.00000000,"mp-2114-GGA","YN","mp-2114-GGA",0.00000000,yes,no
