formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
Y8P7_s012,Y8P7,0.0,29.608557869645807,23.755857688499702,0.0,31.40595371318628,225,-7.518631998697916,-0.029983584086100024,-7.491163771833333,0.001070071722224064
Sc8N7_s007,Sc8N7,0.0,0.0,29.0918272242006,0.0,29.15828673429699,225,-9.024833170572917,0.01905550638834619,-9.021471394333334,0.03581124433333471
Li4N1_s021,Li4N1,60.85930045540139,18.012904883907225,15.760720064964785,52.73327903266821,0.0,194,-3.4670490264892577,0.041209793090820845,-3.4767720939999998,0.010899197333333888
Ca5P3_s021,Ca5P3,0.0,24.271368711791368,22.783124015163736,24.18767494014632,0.0,193,-4.324450969696045,-0.2295244336128235,-4.302358878125,-0.20101219374999957
Y4P3_s032,Y4P3,27.757823987000567,33.91058895370265,31.304990262501924,10.940706059698975,28.18574206495196,186,-7.385074615478516,0.018523488725934456,-7.382366901428571,0.026131209047619564
Y2S1_s083,Y2S1,22.511094002363524,46.33121289050887,59.99149612385387,33.58709301386641,55.9899575165522,186,-6.9946238199869795,0.009568532307942412,-6.9854204200000005,0.033644837777776715
Sr2N1_s008,Sr2N1,0.0,57.63868342226728,56.82274912693877,63.55017796406563,0.0,186,-4.438727060953776,-4.2385525222954357e-07,-4.415296978333333,0.036135828333333286
Ba2N1_s014,Ba2N1,52.8162994103817,56.92415423763273,55.66838086392541,59.48610636484375,0.0,186,-4.440442721048991,1.0596381283534129e-07,-4.44353432,0.019744453333332856
Y3P2_s006,Y3P2,0.0,44.51887422069104,41.07655845546361,13.502890184538696,36.92878519375018,186,-7.310333251953125,0.02947711944580078,-7.3110195739999995,0.03467673666666826
Ca3P1_s037,Ca3P1,79.13364944269952,59.30696968508583,73.36214874116783,23.665629365446748,70.5213381291633,167,-3.452727953592936,-0.057492852210998535,-3.404991899166667,-0.0022274829166666343
Ba2N1_s001,Ba2N1,0.0,58.00560039818091,56.593060326208,55.82889478769415,0.0,166,-4.440441555447048,1.2715657558004523e-06,-4.444491196666666,0.018787576666666972
Rb4Cl3_s025,Rb4Cl3,0.0,35.959899300353754,22.12126421807172,39.35120087557779,39.35441680196723,166,-2.9787601289295016,0.02612261545090444,-2.9709208214285714,0.04264794321428589
Li7F6_s001,Li7F6,28.138452488935236,28.138452488935236,27.86270800255697,28.571801010039216,0.0,166,-4.610067123021835,0.023470756335135512,-4.572595810769231,0.04668642358974395
Sr2N1_s002,Sr2N1,0.0,60.53294621452886,57.493720115968,63.31130771925404,63.655734840097935,166,-4.438726213243273,4.2385525134136515e-07,-4.417298036666667,0.03413476999999965
Na5Cl4_s002,Na5Cl4,0.0,33.20028759751943,33.20028759751943,33.831898377613115,0.0,166,-3.1234088473849826,0.03044671482510042,-3.1227408351851853,0.03589313519795656
Sc4N3_s006,Sc4N3,0.0,0.0,33.478418331961784,0.0,32.11593745694123,166,-8.837650844029017,-0.01861066577815329,-8.809295643809524,0.02567135095938511
Sr2N1_s090,Sr2N1,0.0,40.94832159244413,38.11211472806273,40.62767869910122,41.52423700428484,166,-4.4387257893880205,8.477105035709087e-07,-4.415718265,0.035714541666666655
Y4N3_s001,Y4N3,0.0,35.557897694984646,35.08457797316639,26.6268079324391,24.58563032135408,166,-8.700158255440849,0.009760856628417969,-8.73321393904762,-0.019434895714287137
Ca3P1_s110,Ca3P1,29.375971470234592,16.13144400095822,16.651763650465814,42.86954766747843,55.832360451568654,166,-3.464592615763346,-0.06935751438140869,-3.4162017949999997,-0.013437378749999507
Rb4Br3_s004,Rb4Br3,0.0,0.0,41.254450475542455,40.53509754369374,0.0,166,-2.7377577282133556,0.02480904261271144,-2.7332293057142856,0.03855557321428593
Sc4N3_s035,Sc4N3,0.0,33.51667557712732,34.23720243392736,20.354043929710063,31.68103263644221,166,-8.840302240280877,-0.02126206203001324,-8.786687021904763,0.04827997286414565
Cs4Cl3_s001,Cs4Cl3,0.0,36.25561026697182,39.07158388546512,36.65649975820286,0.0,166,-2.944719768705822,0.012937083130791116,-2.9440781695238094,0.029481860771757518
Cs4Cl3_s018,Cs4Cl3,0.0,37.53278900678799,39.07783058016634,38.716862796505694,0.0,166,-2.9447199503580728,0.012936901478540541,-2.943437327142857,0.030122703152709818
Na4Cl3_s008,Na4Cl3,0.0,40.22623953071559,40.092643737862005,40.8542666758898,0.0,166,-3.040948232014974,0.04703084627787257,-3.0485941514285715,0.044464509064039426
Li7N2_s005,Li7N2,24.56011110566328,23.774304143939915,0.0,47.1542473862949,0.0,166,-3.6664742363823786,0.019891526963975448,-3.6681756803703705,-0.00508789740740756
Na4Cl3_s019,Na4Cl3,0.0,35.80943286503261,35.66233896272505,41.3910964447036,0.0,166,-3.0409487769717263,0.047030301321120405,-3.0467234428571426,0.04633521763546833
Rb5Cl4_s042,Rb5Cl4,0.0,31.389341057407627,32.248900355844015,32.38196178625622,32.39952960985272,166,-3.0634485880533853,0.01804971694946289,-3.0529098674074073,0.035956478425926086
Rb4Cl3_s012,Rb4Cl3,0.0,38.89418466303383,39.86689817955641,40.00401040035214,40.093586634231634,166,-2.978761218843006,0.026121525537400103,-2.9714013333333336,0.04216743130952372
Li8F7_s019,Li8F7,24.727554745338,24.727554745338,24.45234814170932,25.05111636358617,0.0,166,-4.644671291775174,0.019180382622612235,-4.605654516444445,0.04374282199999957
Li5N1_s013,Li5N1,0.0,19.75947872359056,72.67212922459647,68.8406571270972,46.509154311955335,166,-3.1997532314724393,0.04134517245822478,-3.197715016666667,0.02683153722222187
Li4N1_s019,Li4N1,78.88292184072138,0.0,0.0,71.20561830040998,0.0,166,-3.472936248779297,0.035322570800781605,-3.476790997333333,0.010880294000000568
Na4Cl3_s011,Na4Cl3,0.0,42.01486708197263,42.01486708197263,42.7269409797934,0.0,166,-3.040948232014974,0.04703084627787257,-3.048611620714286,0.04444703977832498
Sr2N1_s029,Sr2N1,26.716038100936373,26.524936853493003,23.144535020577145,27.64820447953735,28.128764290004625,166,-4.4387257893880205,8.477105035709087e-07,-4.415368425925926,0.03606438074074081
Sr2N1_s049,Sr2N1,0.0,41.2498919415558,38.413271610717295,42.017420107634585,41.95329872190062,166,-4.4387257893880205,8.477105035709087e-07,-4.415711912777778,0.03572089388888866
Na7Br6_s024,Na7Br6,0.0,22.868670658769258,22.62185803978108,23.273273284011907,0.0,166,-2.8974464612129407,0.02328876959971904,-2.898905532307692,0.02504781949602153
Rb5Br4_s001,Rb5Br4,0.0,28.16744761929112,28.88061033286232,28.91318488535206,28.924728478216267,166,-2.8103550098560475,0.019852655905264083,-2.805438645925926,0.03268885546296296
Rb4Cl3_s040,Rb4Cl3,0.0,40.63424778225699,41.690361697304326,41.87702473384887,0.0,166,-2.978760310581752,0.026122433798653866,-2.9713948571428572,0.04217390750000005
Rb4Cl3_s003,Rb4Cl3,0.0,40.90071146311087,42.00318384915449,42.15735252285677,42.24231166246536,166,-2.9787601289295016,0.02612261545090444,-2.971391273809524,0.04217749083333322
Na7I6_s019,Na7I6,0.0,21.112988496584723,20.776451006505948,21.697902258360404,0.0,166,-2.5643187302809496,0.02098884949317359,-2.5535623726923076,0.03439413603448305
Na7I6_s002,Na7I6,0.0,21.019642361837924,20.685905753805397,21.6467679684234,0.0,166,-2.564319904033954,0.02098767574016902,-2.553225886153846,0.03473062257294446
Y4P3_s008,Y4P3,0.0,34.612938396721006,31.2701004264314,19.94073062720033,29.2755300773596,166,-7.385269891648066,0.018328212556384393,-7.373316274761904,0.03518183571428679
Y4P3_s022,Y4P3,16.34222366342001,33.346873120198744,30.72655803919674,13.766417047359855,27.923462665703635,166,-7.384310767764137,0.01928733644031322,-7.381406226428572,0.027091884047618642
