formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
Rb4B1O3_s046,Rb4B1O3,0.0,78.33625119237901,80.37392393445866,76.8133141534134,0.0,160,-4.65200138092041,0.01389620039198114,-4.64252268125,0.027536008583333604
K6B1O4_s013,K6B1O4,0.0,59.3917446561804,61.63235812421263,57.75587257273094,0.0,143,-4.4474709250710225,-0.04193160268995477,-4.4314855245454545,-0.025114858454545086
Cs2Al1S2_s014,Cs2Al1S2,0.0,73.50814000277188,74.45856821175106,73.92309838229849,0.0,132,-3.775891876220703,-0.08975918557908802,-3.754017041,-0.06455709788888875
Rb4Al3P4_s021,Rb4Al3P4,48.86904655874257,48.53662598997053,43.78807975389512,49.19088468784916,0.0,121,-3.893903905695135,-0.1666841217965791,-3.8088493513636363,-0.06415186287878782
Rb4Al3P4_s008,Rb4Al3P4,48.63282178726339,48.29148921174639,43.57578999515203,48.99155603099551,0.0,111,-3.893904599276456,-0.16668481537790036,-3.8089913545454546,-0.06429386606060605
Cs4Al3P4_s006,Cs4Al3P4,47.45835840104743,47.12960056018604,47.12960056018604,46.93575168560846,0.0,111,-3.858796553178267,-0.08631010489030366,-3.787771435454545,-0.003743574848484421
Cs5Si1S4_s001,Cs5Si1S4,51.96053327891873,51.45829950259335,52.05365767615946,51.091634090860495,0.0,82,-3.691534423828125,-0.026729893684386496,-3.6252956715000004,0.03625578500000026
Cs2Al1S2_s003,Cs2Al1S2,0.0,49.519197068665314,50.36643545711375,49.2041902545823,51.3388942248401,72,-3.818772888183594,-0.13264019754197864,-3.7548308785000004,-0.06537093538888916
Cs2Al1S2_s066,Cs2Al1S2,74.33334678980748,51.370996624474365,51.98948509036037,50.00467623046123,52.26184363208568,72,-3.8187713623046875,-0.1326386716630723,-3.7548352095,-0.06537526638888869
Cs3Al2S4_s001,Cs3Al2S4,0.0,43.99838580109984,43.77463105363403,48.64298332538407,0.0,65,-4.048723432752821,-0.11466333306865861,-3.9888962472222227,-0.05099687345679005
Cs2Al2S3_s011,Cs2Al2S3,0.0,29.47893056475619,28.73251371284676,28.82490048094402,30.11427942412537,59,-4.1108406611851285,-0.10258228816683346,-4.1515203157142855,-0.1386299698412703
Cs2Al2S3_s003,Cs2Al2S3,0.0,31.395418115603302,31.654402096014007,32.25591327632274,31.51770063538624,44,-4.11154910496303,-0.10329073194473537,-4.139770795714286,-0.12688044984127078
Cs4Al1S3_s008,Cs4Al1S3,0.0,52.998534230918615,52.998534230918615,41.99387013475259,0.0,44,-3.4951560497283936,-0.09088333116637326,-3.457410538125,-0.050952197430554236
Cs2Al2S3_s013,Cs2Al2S3,0.0,27.306772798989087,27.335012112774063,27.775356341188942,27.09596350569825,44,-4.128667286464146,-0.12040891344585081,-4.161002672857143,-0.14811232698412802
Cs4B1O3_s003,Cs4B1O3,0.0,66.62894738240882,66.9319709063516,58.77017309368817,0.0,38,-4.7492876052856445,-0.009885556995868683,-4.730136821875,0.01943912900862088
Cs2Ge1O2_s004,Cs2Ge1O2,0.0,42.787118812958894,42.787118812958894,43.60456681231779,42.73417694993421,12,-4.670903015136719,-0.0011557769775398796,-4.640725087,0.0481103335999995
Rb4Al2P3_s009,Rb4Al2P3,0.0,48.30802153594923,44.05108718175352,52.02118939712852,41.83246760215017,12,-3.4473669264051647,-0.044800193221480544,-3.4148475383333334,0.008846867592592567
Cs4B1P2_s035,Cs4B1P2,56.84691179762091,63.14130534884044,63.891295646342286,63.889259610075314,0.0,12,-3.3012095860072543,0.024808057716914522,-3.312033397857143,0.03267413672413744
Li10B1N4_s004,Li10B1N4,0.0,30.748284896586156,29.682178022229262,34.489728480519766,0.0,12,-4.45821787516276,0.036357879638671875,-4.446362552,0.02692887544444389
Cs4B1O3_s028,Cs4B1O3,56.33199121518372,59.30514623710857,60.04805270024589,25.23152857087045,0.0,11,-4.747730731964111,-0.00832868367433548,-4.75134569625,-0.00176974536637875
Cs6Si1P3_s050,Cs6Si1P3,38.07909203458578,43.1503137324857,28.456066674850938,28.24309677609576,0.0,11,-2.98459529876709,0.0052263200283051425,-2.9914450395,0.022787883189654856
Rb6Si1P3_s053,Rb6Si1P3,45.85669428446187,48.049623830506526,27.663452841689708,29.89941396740076,15.097765311628692,11,-3.03012752532959,-0.07783761024475133,-3.031890662,-0.052535373624999604
